,component,componentType,stage,testType,date,runNumber,passed,problems,result1_key,result1_value,result2_key,result2_value
113,20UPBBB0002519,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.756,Estimated_Ni_Mass,0
114,20UPBBB0002520,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.754,Estimated_Ni_Mass,0
115,20UPBBB0002521,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.76,Estimated_Ni_Mass,0
116,20UPBBB0002522,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.765,Estimated_Ni_Mass,0
117,20UPBBB0002523,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.761,Estimated_Ni_Mass,0
118,20UPBBB0002524,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.765,Estimated_Ni_Mass,0
119,20UPBBB0002525,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.765,Estimated_Ni_Mass,0
120,20UPBBB0002526,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.762,Estimated_Ni_Mass,0
121,20UPBBB0002527,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,01/01/1900,1.0,True,False,Base_Block_Mass,0,Estimated_Ni_Mass,0
122,20UPBBB0002528,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.761,Estimated_Ni_Mass,0
123,20UPBBB0002529,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.76,Estimated_Ni_Mass,0
124,20UPBBB0002530,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.764,Estimated_Ni_Mass,0
125,20UPBBB0002531,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.764,Estimated_Ni_Mass,0
126,20UPBBB0002532,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.764,Estimated_Ni_Mass,0
127,20UPBBB0002533,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.776,Estimated_Ni_Mass,0
128,20UPBBB0002534,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.774,Estimated_Ni_Mass,0
129,20UPBBB0002535,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.772,Estimated_Ni_Mass,0
